track_id,genre,track_title,best_p,best_d,best_q
148643,Classical,Quadruplex i,2,1,3
23152,Classical,Boum,3,1,3
37977,Classical,"Holst, Uranus",0,1,3
145566,Classical,Galaxies Apart,1,0,3
23141,Classical,The black hole,1,0,3
120923,Classical,"The Pearl Fishers, Pearl Fishers' Duet (Bizet)",1,0,3
75914,Classical,All Ears,3,1,3
140946,Classical,Juncture,1,1,3
11418,Classical,"Sonata No. 07 in D Major, Op. 10 No. 3 - III. Menuetto Allegro",2,0,3
27946,Classical,(g) There's Trouble In Paradise,2,0,3
107511,Classical,De sal de linguagem feita,3,0,3
41954,Classical,Nocturnes (W.A. Mozart),3,0,3
125202,Classical,Remedy for Melancholy,3,0,3
59044,Classical,"BWV 1105: Jesu, meine Freude",3,0,3
58157,Classical,be'afar ha'mechakeh be'dumiyah,3,0,3
120913,Classical,"The Merry Wives of Windsor, Overture (Nicolai)",1,1,3
75716,Classical,Gnossienne 3,2,0,3
75704,Classical,Gymnopedie 1,2,0,3
34313,Classical,William Byrd - Civitas Sancti Tui,3,1,3
19332,Classical,"Lontana, dolcemente sospesa",1,0,3
48403,Classical,Stetit puella,3,0,3
